UID	row_clusters-flat	Lsk:Lsk.3	Lsk:Lsk.80	Lsk:Lsk.81	Lsk:Lsk.65	Lsk:Lsk.16	Lsk:Lsk.17	Lsk:Lsk.26	Lsk:Lsk.69	Lsk:Lsk.72	Lsk:Lsk.50	Lsk:Lsk.78	Cmp:Cmp.32	Lsk:Lsk.31	Lsk:Lsk.33	Lsk:Lsk.75	Lsk:Lsk.19	Lsk:Lsk.88	Lsk:Lsk.89	Lsk:Lsk.86	Lsk:Lsk.34	Lsk:Lsk.67	Lsk:Lsk.77	Lsk:Lsk.92	Lsk:Lsk.63	Lsk:Lsk.85	Lsk:Lsk.43	Lsk:Lsk.82	Lsk:Lsk.76	Lsk:Lsk.29	Lsk:Lsk.45	Lsk:Lsk.11	Lsk:Lsk.49	Lsk:Lsk.8	Lsk:Lsk.4	Lsk:Lsk.9	Lsk:Lsk.37	Lsk:Lsk.28	Lsk:Lsk.55	Lsk:Lsk.60	Lsk:Lsk.13	Cmp:Cmp.96	Lsk:Lsk.23	Lsk:Lsk.24	Lsk:Lsk.22	Lsk:Lsk.83	Lsk:Lsk.66	Lsk:Lsk.5	Lsk:Lsk.91	Lsk:Lsk.61	Cmp:Cmp.6	Cmp:Cmp.33	Lsk:Lsk.90	Lsk:Lsk.6	Lsk:Lsk.71	Lsk:Lsk.93	Lsk:Lsk.38	Lsk:Lsk.51	Lsk:Lsk.73	Cmp:Cmp.28	Cmp:Cmp.10	Cmp:Cmp.93	Cmp:Cmp.36	Cmp:Cmp.70	Lsk:Lsk.15	Cmp:Cmp.44	Cmp:Cmp.87	Cmp:Cmp.60	Lsk:Lsk.48	Lsk:Lsk.7	Lsk:Lsk.41	Lsk:Lsk.84	Cmp:Cmp.61	Lsk:Lsk.40	Cmp:Cmp.29	Lsk:Lsk.95	Lsk:Lsk.2	Cmp:Cmp.3	Lsk:Lsk.14	Lsk:Lsk.47	Lsk:Lsk.20	Lsk:Lsk.57	Lsk:Lsk.18	Lsk:Lsk.35	Lsk:Lsk.12	Lsk:Lsk.62	Lsk:Lsk.64	Lsk:Lsk.87	Lsk:Lsk.44	Lsk:Lsk.39	Lsk:Lsk.27	Lsk:Lsk.70	Lsk:Lsk.42	Lsk:Lsk.96	Lsk:Lsk.94	Lsk:Lsk.53	Lsk:Lsk.10	Lsk:Lsk.46	Lsk:Lsk.30	Lsk:Lsk.74	Lsk:Lsk.54	Lsk:Lsk.58	Lsk:Lsk.52	Lsk:Lsk.79	Lsk:Lsk.36	Lsk:Lsk.59	Cmp:Cmp.49	Cmp:Cmp.66	Lsk:Lsk.1	Cmp:Cmp.77	Cmp:Cmp.11	Cmp:Cmp.9	Cmp:Cmp.26	Cmp:Cmp.30	Cmp:Cmp.57	Cmp:Cmp.94	Cmp:Cmp.27	LK.CD34+:LK.CD34+.16	Cmp:Cmp.4	Cmp:Cmp.63	Cmp:Cmp.95	Lsk:Lsk.32	Cmp:Cmp.8	Cmp:Cmp.92	Cmp:Cmp.21	Cmp:Cmp.20	Cmp:Cmp.39	Cmp:Cmp.34	Gmp:Gmp.R2.54	Gmp:Gmp.R2.56	LK.CD34+:LK.CD34+.65	LK.CD34+:LK.CD34+.66	Cmp:Cmp.19	Cmp:Cmp.5	Cmp:Cmp.58	Cmp:Cmp.65	Cmp:Cmp.86	Cmp:Cmp.24	Cmp:Cmp.75	Cmp:Cmp.81	Cmp:Cmp.82	Cmp:Cmp.15	Cmp:Cmp.80	LK.CD34+:LK.CD34+.31	Cmp:Cmp.25	Cmp:Cmp.90	Cmp:Cmp.22	Cmp:Cmp.46	LK.CD34+:LK.CD34+.60	Cmp:Cmp.55	Cmp:Cmp.18	Cmp:Cmp.59	Cmp:Cmp.31	Cmp:Cmp.14	Gmp:Gmp.R2.55	Gmp:Gmp.R2.11	Gmp:Gmp.R2.6	Gmp:Gmp.R3.27	Cmp:Cmp.85	Gmp:Gmp.R2.41	Cmp:Cmp.38	Cmp:Cmp.69	Gmp:Gmp.R3.59	Cmp:Cmp.50	Cmp:Cmp.54	Gmp:Gmp.R2.27	Gmp:Gmp.R2.21	LK.CD34+:LK.CD34+.46	Gmp:Gmp.R3.10	Gmp:Gmp.R3.52	Gmp:Gmp.R3.44	Gmp:Gmp.R3.13	Cmp:Cmp.52	Cmp:Cmp.23	Cmp:Cmp.37	Cmp:Cmp.13	Gmp:Gmp.R2.13	Gmp:Gmp.R2.42	Gmp:Gmp.R3.35	Gmp:Gmp.R3.48	Lsk:Lsk.21	LK.CD34+:LK.CD34+.54	Cmp:Cmp.40	Cmp:Cmp.62	Gmp:Gmp.R3.51	Cmp:Cmp.12	Cmp:Cmp.74	Cmp:Cmp.64	Cmp:Cmp.84	Gmp:Gmp.R2.26	Gmp:Gmp.R2.3	Cmp:Cmp.45	Gmp:Gmp.R2.32	Cmp:Cmp.17	Cmp:Cmp.2	LK.CD34+:LK.CD34+.20	Cmp:Cmp.35	Cmp:Cmp.68	Cmp:Cmp.16	Cmp:Cmp.53	Cmp:Cmp.89	Cmp:Cmp.83	LK.CD34+:LK.CD34+.58	Cmp:Cmp.76	Cmp:Cmp.73	Cmp:Cmp.88	Cmp:Cmp.78	Cmp:Cmp.43	Cmp:Cmp.47	Cmp:Cmp.91	LK.CD34+:LK.CD34+.55	Cmp:Cmp.67	LK.CD34+:LK.CD34+.22	Gmp:Gmp.R2.35	LK.CD34+:LK.CD34+.4	Gmp:Gmp.R2.1	Gmp:Gmp.R2.9	Gmp:Gmp.R2.68	Gmp:Gmp.R3.1	Gmp:Gmp.R2.17	Gmp:Gmp.R2.60	Gmp:Gmp.R2.23	Gmp:Gmp.R3.31	Gmp:Gmp.R3.23	Gmp:Gmp.R3.41	Cmp:Cmp.79	Gmp:Gmp.R2.57	Gmp:Gmp.R2.67	Cmp:Cmp.72	LK.CD34+:LK.CD34+.57	LK.CD34+:LK.CD34+.25	LK.CD34+:LK.CD34+.38	Gmp:Gmp.R3.47	LK.CD34+:LK.CD34+.21	LK.CD34+:LK.CD34+.29	Gmp:Gmp.R3.19	Gmp:Gmp.R2.44	Gmp:Gmp.R3.16	Gmp:Gmp.R2.22	LK.CD34+:LK.CD34+.49	Gmp:Gmp.R2.18	Gmp:Gmp.R2.39	LK.CD34+:LK.CD34+.51	Gmp:Gmp.R2.12	Gmp:Gmp.R3.58	Gmp:Gmp.R3.60	Gmp:Gmp.R2.8	Gmp:Gmp.R3.18	Gmp:Gmp.R3.66	Cmp:Cmp.56	Gmp:Gmp.R3.6	Gmp:Gmp.R2.61	Gmp:Gmp.R2.48	LK.CD34+:LK.CD34+.63	Gmp:Gmp.R2.4	Cmp:Cmp.71	Gmp:Gmp.R2.24	LK.CD34+:LK.CD34+.48	Gmp:Gmp.R2.10	Gmp:Gmp.R3.11	Cmp:Cmp.42	Cmp:Cmp.48	Gmp:Gmp.R3.20	LK.CD34+:LK.CD34+.39	LK.CD34+:LK.CD34+.37	Gmp:Gmp.R3.8	LK.CD34+:LK.CD34+.7	Gmp:Gmp.R2.5	LK.CD34+:LK.CD34+.47	Gmp:Gmp.R2.38	Gmp:Gmp.R2.45	LK.CD34+:LK.CD34+.5	Gmp:Gmp.R3.32	Gmp:Gmp.R3.29	Gmp:Gmp.R3.37	Gmp:Gmp.R3.43	LK.CD34+:LK.CD34+.30	Gmp:Gmp.R3.2	Gmp:Gmp.R3.42	Gmp:Gmp.R2.28	LK.CD34+:LK.CD34+.42	Gmp:Gmp.R2.2	Cmp:Cmp.7	Gmp:Gmp.R2.51	LK.CD34+:LK.CD34+.15	LK.CD34+:LK.CD34+.14	Gmp:Gmp.R3.15	Gmp:Gmp.R3.40	Gmp:Gmp.R3.38	Gmp:Gmp.R3.7	Cmp:Cmp.51	Gmp:Gmp.R2.43	Gmp:Gmp.R3.21	LK.CD34+:LK.CD34+.19	Gmp:Gmp.R2.7	Gmp:Gmp.R3.39	Gmp:Gmp.R3.68	LK.CD34+:LK.CD34+.2	LK.CD34+:LK.CD34+.36	Gmp:Gmp.R2.34	Gmp:Gmp.R2.58	Gmp:Gmp.R2.30	Gmp:Gmp.R3.53	Gmp:Gmp.R2.15	Gmp:Gmp.R3.33	Gmp:Gmp.R3.67	Gmp:Gmp.R2.49	Gmp:Gmp.R2.50	Gmp:Gmp.R2.46	Gmp:Gmp.R2.20	Gmp:Gmp.R2.29	LK.CD34+:LK.CD34+.27	Gmp:Gmp.R3.4	Gmp:Gmp.R3.61	Gmp:Gmp.R3.26	Gmp:Gmp.R3.63	Gmp:Gmp.R2.19	Gmp:Gmp.R3.54	LK.CD34+:LK.CD34+.13	Gmp:Gmp.R2.33	Gmp:Gmp.R3.50	Gmp:Gmp.R3.9	Gmp:Gmp.R3.14	Gmp:Gmp.R3.56	Gmp:Gmp.R3.49	Gmp:Gmp.R2.47	Gmp:Gmp.R2.66	Gmp:Gmp.R2.40	LK.CD34+:LK.CD34+.53	Gmp:Gmp.R2.64	Gmp:Gmp.R2.37	LK.CD34+:LK.CD34+.50	LK.CD34+:LK.CD34+.35	Gmp:Gmp.R3.5	LK.CD34+:LK.CD34+.28	LK.CD34+:LK.CD34+.12	Gmp:Gmp.R3.28	Gmp:Gmp.R3.57	Gmp:Gmp.R3.62	LK.CD34+:LK.CD34+.1	LK.CD34+:LK.CD34+.23	Gmp:Gmp.R3.65	Gmp:Gmp.R3.64	Gmp:Gmp.R2.16	Gmp:Gmp.R3.30	Gmp:Gmp.R3.46	Gmp:Gmp.R3.24	LK.CD34+:LK.CD34+.43	Gmp:Gmp.R2.59	Gmp:Gmp.R2.63	Gmp:Gmp.R3.3	Gmp:Gmp.R3.36	Gmp:Gmp.R3.12	Gmp:Gmp.R2.52	LK.CD34+:LK.CD34+.9	Gmp:Gmp.R3.22	LK.CD34+:LK.CD34+.24	Gmp:Gmp.R3.17	Gmp:Gmp.R3.55	Gmp:Gmp.R2.36	Gmp:Gmp.R3.34	LK.CD34+:LK.CD34+.18	Gmp:Gmp.R2.65	Gmp:Gmp.R2.14	Gmp:Gmp.R3.45	Gmp:Gmp.R3.25	LK.CD34+:LK.CD34+.44	LK.CD34+:LK.CD34+.41	LK.CD34+:LK.CD34+.61	LK.CD34+:LK.CD34+.33	LK.CD34+:LK.CD34+.6	LK.CD34+:LK.CD34+.45	LK.CD34+:LK.CD34+.64	LK.CD34+:LK.CD34+.56	LK.CD34+:LK.CD34+.26	LK.CD34+:LK.CD34+.17	LK.CD34+:LK.CD34+.52	LK.CD34+:LK.CD34+.32	LK.CD34+:LK.CD34+.62	LK.CD34+:LK.CD34+.34	LK.CD34+:LK.CD34+.40	LK.CD34+:LK.CD34+.10	LK.CD34+:LK.CD34+.59
column_clusters-flat		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9
Dusp2	7	1.2860245375	0.0973051625	1.0838008985	8.1604154795	8.2401891455	8.3459104755	5.9120020605	-0.5897555255	4.7970554205	4.8063354445	10.6439120845	8.3413069735	9.3073033415	4.9565216065	8.7435340225	0.2582413815	8.7591053855	8.9038397745	6.3043346455	4.9861618355	2.7220381925	-0.5897555255	3.3709415135	2.5913470255	-0.5897555255	6.9176427155	-0.5897555255	5.0355149635	2.1348947465	1.8722967935	-0.5897555255	8.0561910565	-0.5897555255	5.8228566595	-0.5897555255	-0.5897555255	1.2299126575	-0.5897555255	5.6837603645	4.7187655365	-0.5897555255	5.7393680705	-0.5897555255	7.4181687655	-0.5897555255	5.6016492035	3.1184317105	4.8895397175	-0.5897555255	2.3663011265	7.7217657545	8.5796433975	-0.5897555255	0.0883163795	4.8739323165	1.7147555165	7.1276467255	8.2417100735	-0.5897555255	-0.5897555255	5.0372675805	-0.5897555255	4.8798048965	8.1668341535	4.6960165675	-0.5897555255	6.8762189395	-0.5897555255	7.0878231865	2.7536522965	-0.5897555255	-0.5897555255	7.7422362525	8.5232572965	2.2299126575	5.6097205205	5.8980845085	1.1106841925	1.7408028745	8.8175547325	0.2175993965	0.8538511255	3.7037621045	6.5946239605	0.0425126895	-0.0339393705	0.2662341715	-0.5897555255	-0.5897555255	9.5966558945	5.0155017375	4.7081695275	-0.5897555255	4.8538511255	6.7941215345	5.3006911675	0.2258199035	4.4228131485	8.4461157765	7.8248451545	2.8351665625	-0.5897555255	0.0883163795	-0.5897555255	3.6725272805	-0.5897555255	3.0425126895	3.0225969735	0.0425126895	-0.5897555255	-0.5897555255	6.7733279215	7.9038597885	-0.5897555255	8.5981161215	5.9614528485	-0.5897555255	2.9831341425	3.7479555665	-0.5897555255	0.9161354045	6.7021058445	4.4819213485	3.9014562305	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	0.1926530395	-0.5897555255	-0.5897555255	-0.5897555255	1.3957449045	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	0.1926530395	0.4943087395	-0.5897555255	1.4030129055	0.1327104985	-0.5897555255	2.5162577125	0.2662341715	-0.5897555255	-0.5897555255	0.1500925775	-0.5897555255	0.3957449045	8.2612751125	5.5471330825	7.7713987155	-0.5897555255	-0.5897555255	7.4102444745	4.9158178745	7.1581688905	6.7650668525	5.8213317015	-0.5897555255	-0.5897555255	-0.5897555255	4.8518607435	6.1648647865	4.7472418915	6.5200229035	8.6211592905	-0.5897555255	-0.5897555255	6.9468413925	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	4.2201733405	-0.5897555255	2.4458683845	0.3513507855	7.6920354395	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	0.0237761275	4.1017786395	6.5542908445	6.4972829315	2.3305377745	-0.5897555255	-0.5897555255	-0.5897555255	2.4977073155	4.9249979725	-0.5897555255	3.2411082315	-0.5897555255	0.1757792205	0.4874874735	4.9428731325	1.6551315335	-0.5897555255	-0.5897555255	-0.5897555255	0.6551315335	7.0921153545	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	0.4030129055	-0.5897555255	7.0270873405	4.4467478085	-0.0241583495	5.3962002295	-0.5897555255	1.5575511735	0.1842407995	-0.5897555255	-0.5897555255	0.3209771365	-0.5897555255	0.0047930245	0.0047930245	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	5.2852872775	-0.5897555255	2.6165751225	0.4806338025	6.3252872655	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	4.8716420645	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	5.0710248085	-0.5897555255	-0.0047930245	-0.5897555255	-0.5897555255	0.0331748255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	4.5403516535	4.0598599335	3.0564071315	3.1957950265	0.0047930245	-0.5897555255	-0.5897555255	-0.5897555255	4.8104408165	-0.5897555255	-0.5897555255	0.8216707205	-0.0838645955	3.4676947465	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	5.4392555615	1.5411753445	0.3737185985	-0.5897555255	-0.0537026255	-0.5897555255	5.1299755315	3.5145811345	-0.5897555255	2.2958188385	-0.5897555255	7.6089841635	-0.0437871565	4.9202569395	5.4754720975	-0.5897555255	-0.5897555255	6.3805229605	-0.5897555255	-0.5897555255	-0.5897555255	-0.1146706425	3.6520846585	-0.5897555255	5.5160482465	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	4.7765666885	5.6079526325	-0.5897555255	-0.5897555255	4.4129469945	-0.5897555255	6.0683131095	-0.5897555255	-0.5897555255	3.5271082325	-0.5897555255	-0.5897555255	0.5279395175	3.6228138135	5.5616162505	0.7942942815	-0.5897555255	1.5737432065	3.9921982255	-0.0339393705	-0.1355796325	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.0838645955	2.1672677215	4.5082765575	-0.5897555255	-0.5897555255	4.4021064055	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	5.9191484535	-0.5897555255	-0.5897555255	0.4245997675	-0.5897555255	0.0883163795	6.0724499745	3.2339938345	-0.5897555255	4.0314172275	6.5027902165	5.1670009255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255	-0.5897555255
Egr1	7	7.7767437425	-1.2063389255	6.6696571975	8.2348452925	8.3093609125	7.8227633925	9.8985844525	2.7725757805	-0.7515990015	6.4333570835	7.5644429365	10.6832838625	10.4881394525	7.6066119045	7.6854718925	-0.9747748575	5.9510531275	9.1921805225	6.4943794455	7.8236137825	8.0012310725	8.1431299025	5.1236175435	7.1850772985	7.1904187405	5.3387634525	-1.4591049955	-0.5832412955	7.3269560395	9.7782861525	-0.7422308195	9.2210721425	8.2212451725	9.4498185525	8.1068781725	-0.9747748575	3.9168587075	-0.6605470215	-0.8639467275	-0.8947527745	7.7040227325	-0.8792675275	-1.1871453595	7.1834268375	7.8694028425	-0.9315448055	8.6638262325	-1.7752891075	7.2179211105	7.5746840815	9.4176568425	5.7773163775	-0.3377368145	-1.0364139235	5.1195286555	4.2282893025	-1.2257912875	7.2918335705	-0.0859158855	-1.0479095625	-0.9913260345	-0.7848751565	9.8804578025	9.4922417325	7.7010480525	9.2123702025	8.7538893125	2.7340795535	8.1841947325	-0.9476046565	7.4270942315	6.5956869185	7.4840956315	8.8475203025	7.9272276325	-0.9913260345	7.1555069635	6.0973602945	8.7460383225	8.3908739725	8.7268313825	6.0373026175	-0.7993747265	9.4942207725	8.3480529225	-1.2389067875	-0.7563060045	6.4242532405	-0.4063635335	8.0093132425	-1.0888813435	-0.0307002725	-1.7848751565	-0.5460882975	5.5215815295	9.3215089325	-1.2588063455	10.2281357225	9.9518847225	8.2727195225	-0.4823123865	-0.1650709065	-1.4362650195	-1.0024665915	8.8444875325	8.8407241125	7.1805820795	5.4735809535	8.2435006025	6.6655938065	7.9776176225	10.7451458225	8.9700735725	7.8286073825	9.5606409725	8.0201377825	3.8886812675	5.1339880805	8.6843053625	8.6885397225	8.8575135425	6.1499165215	8.4850229325	9.1900556125	5.9258853675	-0.3097902735	-1.3063347155	7.8454041025	7.7168028225	-1.8337847575	-2.3698376575	-0.4438382385	0.2103078265	0.6988331535	7.3286239355	2.1084870535	-0.2356167175	-1.1999126565	8.0012855425	8.0772662425	8.7258824225	7.5540691665	1.5108478675	0.3306020605	5.2732248315	2.5418539245	-0.5298780705	-2.3698376575	6.3035067565	7.5051590545	7.7341451025	8.3500901525	-0.5749019945	8.6184351825	-2.3698376575	8.6662603825	7.1413812985	8.8007634525	9.8551558325	7.8551648725	7.5571254105	-2.3698376575	-0.6000659185	8.6007068725	7.5388251615	7.5373384435	3.8341465085	6.0186532705	4.0508805255	-1.9368782505	-2.3698376575	9.7533396425	8.6232280925	7.8883632425	5.2122666795	8.8266046425	6.4892622355	-0.7329230775	4.5310291505	-1.0536919155	-2.3698376575	-0.8844108305	-0.3342137475	-2.3698376575	-1.7848751565	2.8777101495	1.2163265885	8.1250779125	-2.3698376575	-2.3698376575	4.8194927435	7.0365161815	-0.7144858285	-1.4901318915	-2.3698376575	-2.3698376575	4.5934052465	3.7713498675	-0.3806986505	4.6210037795	5.5115822505	-2.3698376575	4.3603946995	3.9544329145	-1.0948306105	-0.2756015875	-1.8844108305	-1.6561418425	4.2056259545	-2.3698376575	6.4087651875	5.9485243805	6.8650755515	4.3343426655	4.9906144145	3.9908777675	5.8396157085	4.1595148055	6.8411258485	-2.3698376575	3.4668439355	-1.9476046565	-2.3698376575	-2.3698376575	-1.6386544155	-1.7563060045	4.6990480795	-1.5624827355	4.5498599555	4.8599425095	-1.7945253265	5.7528868215	2.9074032405	-0.4100675025	5.4556935935	-2.3698376575	-2.3698376575	-2.0024665915	5.4487445195	5.2997560935	-0.1557128525	2.1655932575	-1.1935148845	-2.3698376575	-2.0594975365	-2.0250091605	-0.1557128525	-2.3698376575	7.3423797925	5.6702328335	5.3319886005	6.4517769015	1.1284132105	-2.3698376575	3.9203655475	-1.6917657525	-2.3698376575	-2.3698376575	-1.8042404815	-1.2192779805	-0.2588063455	-1.9913260345	-0.4862168415	-2.3698376575	-2.3698376575	2.5471166215	-2.3698376575	-2.3698376575	-1.4667993875	4.1365294355	-2.3698376575	-2.3698376575	-2.3698376575	-2.0250091605	-2.3698376575	0.0307002725	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	4.2654814225	-0.4100675025	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.0250091605	-1.1935148845	3.6511978225	-2.3698376575	-2.3698376575	5.8008886185	3.4123087665	-0.4667993875	2.4370019245	5.6117867035	-2.0829565095	3.4612795375	4.5040985485	-2.3698376575	4.1847511945	-2.3698376575	-2.1188760835	-1.5874290925	-2.3698376575	-2.3698376575	-2.3698376575	7.7461683325	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	4.9590167545	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	6.2122666795	-2.3698376575	-1.8741424945	-2.3698376575	-2.0479095625	-2.3698376575	-2.1068032515	-2.3698376575	6.0080235655	1.3914476155	5.5521817465	1.5908593815	-2.3698376575	-2.3698376575	2.9919307015	-2.3698376575	-2.1557128525	-2.3698376575	-0.2063389255	-2.3698376575	-2.1188760835	-2.1808038335	-1.8437688455	-2.3698376575	-2.0479095625	-2.3698376575	-2.3698376575	-2.0364139235	-2.3698376575	-1.7945253265	-2.3698376575	-1.8238692885	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.3698376575	-2.1682037965	-2.3698376575	-1.7657663335	-2.3698376575	-1.6827769695	-1.8238692885	-2.3698376575	-2.0024665915	4.0199012215	-2.3698376575	4.9742806775	6.6251945345	4.3775497425	-2.3698376575	3.7267193845	1.2127183455	-2.3698376575	4.9140841145	-2.3698376575	-2.3698376575	-2.3698376575	-2.1433291275	-2.3698376575	-2.3698376575	-2.3698376575
