"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8408.N702_N504" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N702_N505" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N702_N506" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N702_N507" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N702_N508" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N703_N501" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N703_N502" "HF" "HF5" "HF-Flk1+" "black" NA NA
"SLX.8408.N703_N503" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N703_N504" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N703_N505" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N703_N506" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N703_N507" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N703_N508" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N704_N501" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N704_N502" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N704_N503" "HF" "HF5" "HF-Flk1+" "black" NA NA
"SLX.8408.N704_N504" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N704_N507" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N704_N508" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N705_N501" "HF" "HF5" "HF-Flk1+" "blue" NA NA
"SLX.8408.N705_N502" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N705_N503" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N705_N504" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N705_N505" "HF" "HF5" "HF-Flk1+" "blue" NA NA
"SLX.8408.N705_N506" "HF" "HF5" "HF-Flk1+" "darkorange" NA NA
"SLX.8408.N705_N507" "HF" "HF5" "HF-Flk1+" "blue" NA NA
"SLX.8408.N705_N508" "HF" "HF5" "HF-Flk1+" "yellow" NA NA
"SLX.8408.N706_N501" "HF" "HF5" "HF-Flk1+" "green" NA NA
"SLX.8408.N706_N502" "HF" "HF5" "HF-Flk1+" "black" NA NA
"SLX.8408.N706_N503" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N706_N504" "HF" "HF5" "HF-Flk1+" "black" NA NA
"SLX.8408.N706_N505" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N706_N508" "HF" "HF5" "HF-Flk1+" "red" NA NA
"SLX.8408.N707_N501" "PS" "PS11" "PS-Flk1+" "yellow" NA NA
"SLX.8408.N707_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N707_N503" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N707_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N707_N505" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N707_N506" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N707_N508" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N501" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N708_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N503" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N505" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N507" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N708_N508" "PS" "PS11" "PS-Flk1+" "yellow" NA NA
"SLX.8408.N709_N501" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N503" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N505" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N506" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N709_N507" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N709_N508" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N501" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N710_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N503" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N505" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N506" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N507" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N710_N508" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N501" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N503" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N711_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N505" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N506" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N507" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N711_N508" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N501" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N502" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N503" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N504" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N505" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N506" "PS" "PS11" "PS-Flk1+" "darkorange" NA NA
"SLX.8408.N712_N507" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8408.N712_N508" "PS" "PS11" "PS-Flk1+" "blue" NA NA
"SLX.8409.N701_N501" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N701_N502" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N701_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N701_N504" "PS" "PS4" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N701_N505" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N701_N506" "PS" "PS4" "PS-Flk1+" "pink" NA NA
"SLX.8409.N701_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N501" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N502" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N504" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N506" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N507" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N702_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N501" "PS" "PS4" "PS-Flk1+" "red" NA NA
"SLX.8409.N703_N502" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N504" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N505" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N506" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N703_N507" "PS" "PS4" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N703_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N704_N501" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N704_N502" "PS" "PS4" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N704_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N704_N504" "PS" "PS4" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N704_N505" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N704_N506" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N704_N507" "PS" "PS4" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N704_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N501" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N502" "PS" "PS4" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N705_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N504" "PS" "PS4" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N705_N505" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N506" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N507" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N705_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N501" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N502" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N503" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N504" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N505" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N506" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N507" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N706_N508" "PS" "PS4" "PS-Flk1+" "blue" NA NA
"SLX.8409.N707_N501" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N707_N502" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N707_N503" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N707_N504" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N707_N505" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N707_N506" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N707_N507" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N707_N508" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N708_N501" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N708_N502" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N708_N503" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N708_N504" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N708_N505" "PS" "PS6" "PS-Flk1+" "pink" NA NA
"SLX.8409.N708_N506" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N708_N507" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N708_N508" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N709_N501" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N709_N502" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N709_N503" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N709_N504" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N709_N505" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N709_N506" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N709_N508" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N501" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N502" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N503" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N504" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N506" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N710_N507" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N710_N508" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N711_N501" "PS" "PS6" "PS-Flk1+" "red" NA NA
"SLX.8409.N711_N502" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N711_N503" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N711_N504" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N711_N505" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N711_N506" "PS" "PS6" "PS-Flk1+" "yellow" NA NA
"SLX.8409.N711_N507" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N711_N508" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N712_N501" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N712_N502" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N712_N503" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N712_N504" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N712_N505" "PS" "PS6" "PS-Flk1+" "darkorange" NA NA
"SLX.8409.N712_N506" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N712_N507" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8409.N712_N508" "PS" "PS6" "PS-Flk1+" "blue" NA NA
"SLX.8410.N701_N501" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N701_N502" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N701_N503" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N701_N504" "NP" "NP5" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N701_N505" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N701_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N701_N507" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N701_N508" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N702_N501" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N702_N502" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N702_N503" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N702_N504" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N702_N505" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N702_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N702_N507" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N702_N508" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N703_N501" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N703_N502" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N703_N503" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N703_N504" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N703_N505" "NP" "NP5" "NP-Flk1+" "red" NA NA
"SLX.8410.N703_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N703_N507" "NP" "NP5" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N703_N508" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N501" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N502" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N503" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N504" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N704_N505" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N704_N508" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N501" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N502" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N503" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N504" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N705_N505" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N507" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N705_N508" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N501" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N502" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N503" "NP" "NP5" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N706_N504" "NP" "NP5" "NP-Flk1+" "red" NA NA
"SLX.8410.N706_N505" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N506" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N507" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N706_N508" "NP" "NP5" "NP-Flk1+" "blue" NA NA
"SLX.8410.N707_N501" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N707_N502" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N707_N503" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N707_N504" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N707_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N707_N506" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N707_N507" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N707_N508" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N708_N501" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N708_N502" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N708_N503" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N708_N504" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N708_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N708_N506" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N708_N507" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N708_N508" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N709_N501" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N709_N502" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N709_N503" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N709_N504" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N709_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N709_N506" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N709_N507" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N709_N508" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N710_N501" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N710_N502" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N710_N503" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N710_N504" "NP" "NP1" "NP-Flk1+" "darkorange" NA NA
"SLX.8410.N710_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N710_N506" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N710_N507" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N710_N508" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N711_N501" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N711_N502" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N711_N503" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N711_N504" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N711_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N711_N506" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N711_N507" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N711_N508" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N501" "NP" "NP1" "NP-Flk1+" "red" NA NA
"SLX.8410.N712_N502" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N503" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N504" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8410.N712_N505" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N506" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N507" "NP" "NP1" "NP-Flk1+" "blue" NA NA
"SLX.8410.N712_N508" "NP" "NP1" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N701_N501" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N502" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N503" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N504" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N505" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N506" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N507" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N701_N508" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N702_N501" "NP" "NP2" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N702_N502" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N702_N503" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N702_N504" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N702_N505" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N702_N508" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N703_N501" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N703_N502" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N703_N504" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N703_N506" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N703_N507" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N704_N501" "NP" "NP2" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N704_N502" "NP" "NP2" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N704_N503" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N704_N504" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N705_N502" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N705_N503" "NP" "NP2" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N705_N504" "NP" "NP2" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N705_N505" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N501" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N502" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N503" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N504" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N505" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N507" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N706_N508" "NP" "NP2" "NP-Flk1+" "blue" NA NA
"SLX.8411.N707_N501" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N707_N502" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N707_N503" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N707_N505" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N707_N508" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N708_N501" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N708_N502" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N708_N503" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N708_N504" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N708_N507" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N708_N508" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N709_N501" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N709_N503" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N709_N506" "NP" "NP3" "NP-Flk1+" "grey" NA NA
"SLX.8411.N709_N507" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N710_N501" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N710_N502" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N710_N503" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N710_N504" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N710_N507" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N710_N508" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N711_N501" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N711_N502" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N711_N503" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N711_N504" "NP" "NP3" "NP-Flk1+" "blue" NA NA
"SLX.8411.N711_N508" "NP" "NP3" "NP-Flk1+" "grey" NA NA
"SLX.8411.N712_N501" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N712_N503" "NP" "NP3" "NP-Flk1+" "darkorange" NA NA
"SLX.8411.N712_N504" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
"SLX.8411.N712_N507" "NP" "NP3" "NP-Flk1+" "yellow" NA NA
