"cellName" "embryoStage" "embryo" "cellCategory" "cluster" "fsc" "ssc"
"SLX.8343.N709_N501" "HF" "ID_1" "HF-CD41+Flk1+" "yellow" 14381 22979
"SLX.8343.N709_N503" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 24728 14061
"SLX.8343.N709_N505" "HF" "ID_2" "HF-CD41+Flk1+" "yellow" 27472 15673
"SLX.8343.N709_N506" "HF" "ID_3" "HF-CD41+Flk1+" "yellow" 25108 16687
"SLX.8343.N709_N507" "NP" "ID_4" "NP-CD41+Flk1+" "yellow" 19923 14176
"SLX.8343.N709_N508" "NP" "ID_5" "NP-CD41+Flk1+" "blue" 25839 13656
"SLX.8343.N710_N501" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 27364 9466
"SLX.8343.N710_N502" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 28310 9620
"SLX.8343.N710_N503" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 16924 12143
"SLX.8343.N710_N504" "HF" "ID_2" "HF-CD41+Flk1+" "yellow" 34471 17488
"SLX.8343.N710_N505" "HF" "ID_2" "HF-CD41+Flk1+" "red" 19521 16502
"SLX.8343.N710_N506" "HF" "ID_3" "HF-CD41+Flk1+" "yellow" 35075 25733
"SLX.8343.N710_N507" "NP" "ID_4" "NP-CD41+Flk1+" "yellow" 42555 18772
"SLX.8343.N710_N508" "NP" "ID_5" "NP-CD41+Flk1+" "yellow" 33719 23842
"SLX.8343.N711_N502" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 22580 10545
"SLX.8343.N711_N503" "HF" "ID_1" "HF-CD41+Flk1+" "yellow" 24671 10339
"SLX.8343.N711_N505" "HF" "ID_2" "HF-CD41+Flk1+" "yellow" 44095 28450
"SLX.8343.N711_N506" "HF" "ID_3" "HF-CD41+Flk1+" "blue" 22389 13514
"SLX.8343.N711_N507" "NP" "ID_4" "NP-CD41+Flk1+" "blue" 23769 14909
"SLX.8343.N711_N508" "NP" "ID_5" "NP-CD41+Flk1+" "yellow" 19847 13790
"SLX.8343.N712_N501" "HF" "ID_1" "HF-CD41+Flk1+" "red" 24161 22952
"SLX.8343.N712_N502" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 23685 7865
"SLX.8343.N712_N503" "HF" "ID_1" "HF-CD41+Flk1+" "brown" 12419 20512
"SLX.8343.N712_N504" "HF" "ID_2" "HF-CD41+Flk1+" "brown" 31570 20069
"SLX.8343.N712_N505" "HF" "ID_2" "HF-CD41+Flk1+" "brown" 25037 13776
"SLX.8343.N712_N506" "HF" "ID_3" "HF-CD41+Flk1+" "darkorange" 23272 18603
"SLX.8343.N712_N507" "NP" "ID_4" "NP-CD41+Flk1+" "yellow" 13537 13472
"SLX.8343.N712_N508" "NP" "ID_5" "NP-CD41+Flk1+" "blue" 28871 15936
"SLX.8344.N701_N501" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 29431 16419
"SLX.8344.N701_N502" "HF" "ID2_2" "HF-CD41+Flk1-" "brown" 34071 11153
"SLX.8344.N701_N503" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 37488 9240
"SLX.8344.N701_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 40370 14885
"SLX.8344.N701_N505" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 43549 18563
"SLX.8344.N701_N506" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 47434 18098
"SLX.8344.N701_N507" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 21391 14941
"SLX.8344.N701_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 31672 15419
"SLX.8344.N702_N501" "HF" "ID2_2" "HF-CD41+Flk1-" "blue" 39283 13702
"SLX.8344.N702_N502" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 27911 12196
"SLX.8344.N702_N503" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 43360 9221
"SLX.8344.N702_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 35322 14929
"SLX.8344.N702_N505" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 41094 14384
"SLX.8344.N702_N506" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 26938 9511
"SLX.8344.N702_N507" "NP" "ID2_4" "NP-CD41+Flk1-" "brown" 27863 16241
"SLX.8344.N702_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 38639 17083
"SLX.8344.N703_N501" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 32400 15892
"SLX.8344.N703_N502" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 49103 22066
"SLX.8344.N703_N503" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 28027 11946
"SLX.8344.N703_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 47111 18567
"SLX.8344.N703_N505" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 52106 25472
"SLX.8344.N703_N506" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 35246 11523
"SLX.8344.N703_N507" "NP" "ID2_4" "NP-CD41+Flk1-" "brown" 45736 15017
"SLX.8344.N703_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 15560 13615
"SLX.8344.N704_N501" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 31464 14642
"SLX.8344.N704_N502" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 40499 10411
"SLX.8344.N704_N503" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 32084 10986
"SLX.8344.N704_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 34299 15400
"SLX.8344.N704_N505" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 55732 22061
"SLX.8344.N704_N506" "NP" "ID2_4" "NP-CD41+Flk1-" "brown" 34837 9629
"SLX.8344.N704_N507" "NP" "ID2_4" "NP-CD41+Flk1-" "brown" 47802 19388
"SLX.8344.N704_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 35054 17634
"SLX.8344.N705_N501" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 37338 12284
"SLX.8344.N705_N502" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 40664 24016
"SLX.8344.N705_N503" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 37439 13605
"SLX.8344.N705_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 24504 17433
"SLX.8344.N705_N505" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 31823 11341
"SLX.8344.N705_N506" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 31067 26000
"SLX.8344.N705_N507" "NP" "ID2_4" "NP-CD41+Flk1-" "pink" 44105 21592
"SLX.8344.N705_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 25702 25067
"SLX.8344.N706_N501" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 45268 28545
"SLX.8344.N706_N502" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 33334 11422
"SLX.8344.N706_N503" "HF" "ID2_2" "HF-CD41+Flk1-" "brown" 34166 13764
"SLX.8344.N706_N504" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 44633 17748
"SLX.8344.N706_N505" "HF" "ID2_1" "HF-CD41+Flk1-" "brown" 39715 13554
"SLX.8344.N706_N506" "HF" "ID2_3" "HF-CD41+Flk1-" "brown" 41265 13890
"SLX.8344.N706_N507" "NP" "ID2_4" "NP-CD41+Flk1-" "brown" 31682 12287
"SLX.8344.N706_N508" "NP" "ID2_5" "NP-CD41+Flk1-" "brown" 30424 13712
"SLX.8344.N707_N501" "HF" "ID2_1" "HF-CD41+Flk1+" "red" 38752 23074
"SLX.8344.N707_N502" "HF" "ID2_2" "HF-CD41+Flk1+" "brown" 23088 11890
"SLX.8344.N707_N503" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 31339 14429
"SLX.8344.N707_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "blue" 34925 14612
"SLX.8344.N707_N505" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 49342 19729
"SLX.8344.N707_N506" "HF" "ID2_3" "HF-CD41+Flk1+" "brown" 43629 18406
"SLX.8344.N707_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "brown" 40192 24934
"SLX.8344.N707_N508" "NP" "ID2_5" "NP-CD41+Flk1+" "brown" 41977 27058
"SLX.8344.N708_N502" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 43455 19798
"SLX.8344.N708_N503" "HF" "ID2_3" "HF-CD41+Flk1+" "brown" 43004 20383
"SLX.8344.N708_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 55213 24200
"SLX.8344.N708_N505" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 30613 16716
"SLX.8344.N708_N506" "HF" "ID2_3" "HF-CD41+Flk1+" "brown" 36912 27549
"SLX.8344.N708_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "brown" 25871 16884
"SLX.8344.N708_N508" "NP" "ID2_5" "NP-CD41+Flk1+" "yellow" 37761 19644
"SLX.8344.N709_N501" "HF" "ID2_2" "HF-CD41+Flk1+" "brown" 36722 18880
"SLX.8344.N709_N502" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 34182 14328
"SLX.8344.N709_N503" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 33943 18221
"SLX.8344.N709_N504" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 47214 9755
"SLX.8344.N709_N505" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 38646 10345
"SLX.8344.N709_N506" "HF" "ID2_3" "HF-CD41+Flk1+" "red" 32312 29095
"SLX.8344.N709_N507" "NP" "ID2_4" "NP-CD41+Flk1+" "red" 36365 20301
"SLX.8344.N709_N508" "NP" "ID2_5" "NP-CD41+Flk1+" "red" 36644 9546
"SLX.8344.N710_N501" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 39981 15891
"SLX.8344.N710_N502" "HF" "ID2_1" "HF-CD41+Flk1+" "brown" 33358 15672
"SLX.8344.N710_N503" "HF" "ID2_1" "HF-CD41+Flk1+" "yellow" 32316 14869
